title,platform,publisher,developer,genre,rating,release_date,multihoming,playersnum,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
#KILLALLZOMBIES,PlayStation 3,['Beatshapers'],Beatshapers,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",T,7-Mar-17,"['PC', 'PlayStation 4', 'PlayStation Vita', 'Switch', 'Xbox One']",,"In the distant future; #KILLALLZOMBIES is thrusting civilians into a sport of survival were a ravenous zombie population is unleashed in the name of sports entertainment with television spectators voting upon how many zombies they want to uncage to make survival all the more harder for you to accomplish with the potential of a collective horde of over 1,000 zombies.",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
.detuned,PlayStation 3,['SCEA'],.theprodukkt,"['Action', 'Miscellaneous', 'Rhythm', 'Music', 'Music']",E,15-Oct-09,,1 Player,"[Playstation Network]  Developed by .theprodukkt, .detuned is a personalized, interactive music experience which gives you the opportunity to create dynamic artwork in real-time to accompany your XMB music collection. Manipulate the given scene by interacting with and modifying its unique graphics using the DUALSHOCK 3 Wireless Controller. Plus you can change and tweak your own music to accompany the scene. Download .detuned today for an artistic music experience. [SCEA]",46,Generally unfavorable reviews,0,4,5,3.7,Generally unfavorable reviews,7,8,27
007 Legends,PlayStation 3,['Activision'],"Eurocom Entertainment Software, Eurocom","['Action', 'Shooter', 'Shooter', 'First-Person', 'Modern', 'Modern', 'Arcade']",T,16-Oct-12,"['PC', 'Wii U', 'Xbox 360']",Up to 12,"Each of the 007 Legends movie-inspired missions include multiple levels based on a re-imaginings of some of the most iconic Bond films, showcasing state-of-the-art spy gadgets, an arsenal of weapons and tricked-out vehicles, exotic locales, and intense moments that require Bond’s dexterity to defeat notorious villains and their wily henchmen.",41,Generally unfavorable reviews,0,7,15,4.1,Generally unfavorable reviews,8,17,30
007: Quantum of Solace,PlayStation 3,['Activision'],Treyarch,"['Action', 'General', 'Shooter', 'Shooter', 'First-Person', 'Modern', 'Modern', 'Arcade']",T,4-Nov-08,"['PC', 'Xbox 360']",Up to 12,"Introducing a more lethal and cunningly efficient Bond, the game blends intense first-person action with a unique third-person cover combat system that allows players to truly feel what it is like to be the ultimate secret agent as they use their stealth, precision shooting and lethal combat skills to progress through missions. Blending the action of the ""Quantum of Solace"" feature film with the ""Casino Royale"" movie, the title propels players into the cinematic experience of international espionage.  Based on the Call of Duty 4: Modern Warfare game engine that has been specifically engineered to immerse players in the Bond universe, the Quantum of Solace game delivers high-definition graphics, reactive AI and visually stunning locations inspired by locales portrayed in the films. Quantum of Solace marks the first time players can become the dangerous and cunning Bond as portrayed by Daniel Craig. From silent take downs and sneaking through confined spaces, to one-on-one shoot outs and large scale battles, players experience a variety of gameplay that challenges them to think through situations and choose how they progress, whether it's through covert means or confronting enemies in full force. Advanced combat and Realistic AI: Players engage in both first-person and third-person gameplay that allows gamers to be Bond in unscripted battles against the world's most evil villains and mercenaries. Filled with armed combat, massive explosions and vertigo-inducing chases, gamers are immersed in an authentic Bond universe and drawn into epic movie moments with theatrical camera angles, split screen effects, picture-in-picture sequences, and amazing environments inspired by real world locations such as Montenegro, Venice, Bolivia and Austria. Bringing James Bond to next-gen consoles for the first time, gamers now have the ability to battle online in a variety of modes. [Activision]",65,Mixed or average reviews,9,30,3,6.5,Mixed or average reviews,24,23,14
1942: Joint Strike,PlayStation 3,['Capcom'],Backbone Entertainment,"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']",E10+,24-Jul-08,['Xbox 360'],2  Online,"[Playstation Network]  1942: Joint Strike takes inspiration and influence from the 194X series of World War II-themed vertical shooters. The art, sound, and gameplay of the new game takes cues from the original 194X games, but stands out as its own unique entry. Gameplay resembles the classic 2D style that gamers expect, but the game utilizes a full 3D engine. Set in a World War II-themed locale, stages, vehicles, and weapons have the look and feel of WWII with some stylistic differences. The world in which 1942 takes place is not our own and the events that transpire are not historically accurate, nor are they intended to be. This is an alternate world where history and technology developed along their own paths. As a result, players jump into the cockpits of WWII-era aircraft to take on huge waves of incoming enemy fire, dodging explosions and missiles while challenging huge bosses at the end of each stage. New co-op ""Joint Strike attacks"" combine the powers of two aircrafts into a devastating barrage. [Capcom]",69,Mixed or average reviews,6,14,0,5.9,Mixed or average reviews,6,5,5
2010 FIFA World Cup South Africa,PlayStation 3,['EA Sports'],EA Canada,"['Sports', 'Traditional', 'Team', 'Soccer', 'Sim', 'Sim']",E,27-Apr-10,"['iPhone/iPad', 'Xbox 360']",,"EA SPORTS 2010 FIFA World Cup South Africa features all the emotion and passion of the fiercest national rivalries battling on the world’s biggest stage, with all 199 national teams that took part in qualification, all 10 official stadiums to be used in South Africa and stadiums from each qualifying region. Gamers can play as their home nation from qualification right through to a virtual reproduction of the FIFA World Cup Final and feel what it is like to score the goal that lifts a nation.  Everything fans love about the World Cup comes to life in spectacular  detail, including confetti rain, streamers, & fireworks - just like the official tournament. [Electronic Arts]",82,Generally favorable reviews,48,8,0,7.6,Generally favorable reviews,49,13,10
2014 FIFA World Cup Brazil,PlayStation 3,['EA Sports'],EA Canada,"['Sports', 'Traditional', 'Team', 'Soccer', 'Sim']",E,15-Apr-14,['Xbox 360'],2,"An all-new feature and one of 100 new animations, Over-the-Back Headers give players the ability to jump over top of the opposition to win the ball. On defense, jump over the back of a holding attacker to clear the ball to safety or while in attack, jump over your defender to unleash a header on goal.",73,Mixed or average reviews,17,16,0,4.7,Generally unfavorable reviews,31,25,45
2K Essentials Collection,PlayStation 3,['2K Games'],Various,"['Miscellaneous', 'Compilation', 'Compilation']",M,22-Oct-13,['Xbox 360'],,,0,No score yet,0,0,0,tbd,No user score yet,2,0,0
2K Power Pack,PlayStation 3,['2K Games'],Various,"['Miscellaneous', 'Compilation', 'Compilation']",M,29-Oct-13,['Xbox 360'],Up to 10,,0,No score yet,0,0,0,tbd,No user score yet,1,0,0
3 on 3 NHL Arcade,PlayStation 3,['Electronic Arts'],EA Canada,"['Sports', 'Traditional', 'Team', 'Ice Hockey', 'Arcade', 'Arcade']",E,5-Feb-09,['Xbox 360'],6  Online,"[Playstation Network]  With fast paced action, crushing hits and loads of room to experiment, 3 on 3 NHL Arcade promises to have gamers from all walks of life excited about hockey. With no rules to hinder the action, deliver devastating checks that send your opponent over the boards and watch as he has to skate back onto the ice. If the goalie comes out of his crease to play the puck, check him. Exaggerated player-looks take center stage with 40 of the top NHL stars, representing every team, skating around the miniature rink. With game-changing power-ups falling on the ice throughout each session, serious is not the name of this game. Fly down the ice with a super-speed skater, and beat a giant sprawling goalie with a trick move for that highlight reel finish. With two control schemes to choose from, players can pick between button controls that allow gamers of all skill levels to pass, shoot, hit and break out the all-new trick moves with ease, or the more advanced Skill Stick controls from NHL 09. 3 on 3 NHL Arcade also brings the online experience players have come to expect from EA SPORTS. In addition to standard ranked matches, 3 on 3 NHL Arcade allows the ability for three players on one console to play three other players on another console anywhere in the world. [Electronic Arts]",66,Mixed or average reviews,7,12,1,7.1,Mixed or average reviews,11,8,4
