title,platform,publisher,developer,genre,rating,release_date,multihoming,playersnum,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
'Splosion Man,Xbox 360,['Twisted Pixel Games'],Twisted Pixel Games,"['Action', 'General', 'Platformer', 'Platformer', '2D', '2D']",E10+,"Jul 22, 2009",,4  Online,"[Xbox Live Arcade]  Fools they were, to tread where knowledge should stay forbidden. For what emerged was not a man - it was Splosion Man. ""And all who saw him were 'sploded, for he was the fire and they were but meat."" Able to 'splode himself at will, Splosion Man launches his way through levels, an uncontainable force. From Twisted Pixel Games, developer of the award-winning The Maw, comes a single- or co-op multiplayer experience that 'splodes like no other. Play through 50 single-player levels split into three environmentally different chapters as Splosion Man escapes the underground Big Science Labs where he was created. Multiplayer action: Jump into 50 multiplayer levels supporting up to four player co-op split into three different chapters. Bonuses: Get free unlockable premium dashboard theme, gamerpics, and Avatar accessories. Visual style: The personality and humor shine through in film-like cinematics and hundreds of in-game animations. Vivid and colorful graphics advance character animation and emotion. Hours of fun: Splosion Man is a retail game's amount of content that can be downloaded from the comfort of your own living room. Musical talent: The original music score is from award-winning composers Joshua R. Mosley (single-player levels) and John DeBorde (multiplayer levels). [Twisted Pixel]",84,Generally favorable reviews,48,4,0,7.8,Generally favorable reviews,73,33,9
0 Day Attack on Earth,Xbox 360,['Square Enix'],Gulti,"['Action', 'Shooter', 'Shooter', 'Third-Person', 'Sci-Fi', 'Sci-Fi', 'Arcade']",E10+,"Dec 23, 2009",,,"[Xbox Live Arcade]  Earth is under attack by massive creatures from outer space. With a huge arsenal of heavy-power artillery at your disposal, climb into your fighter jet and wage fierce battles against these gruesome aggressors. The  Arcade exclusive 0 Day Attack on Earth gives you full range of motion and attack while you engage in air strikes over real-world cities, such as Tokyo, New York and Paris. Team up with—or battle against—players from around the world in online co-op. Only you can save Earth from complete annihilation! [Square Enix]",41,Generally unfavorable reviews,0,5,14,4.5,Generally unfavorable reviews,5,1,7
007 Legends,Xbox 360,['Activision'],"Eurocom Entertainment Software, Eurocom","['Action', 'Shooter', 'Shooter', 'First-Person', 'Modern', 'Modern', 'Arcade']",T,"Oct 16, 2012","['PC', 'PlayStation 3', 'Wii U']",Up to 12,"007 Legends features an original, overarching storyline that explores Bond's journey from a newly-minted secret agent to the most beloved, or hated, spy legend there has ever been. Players experience the conscience and gritty evolution of James Bond by tying together 5 classic Bond movie-inspired missions: Moonraker, On Her Majesty's Secret Service, Die Another Day, Licence to Kill, and Goldfinger.  A 6th mission based on this year’s SKYFALL is available post-launch as DLC.",45,Generally unfavorable reviews,2,15,32,4.5,Generally unfavorable reviews,17,21,40
007: Quantum of Solace,Xbox 360,['Activision'],Treyarch,"['Action', 'General', 'Shooter', 'Shooter', 'First-Person', 'Modern', 'Modern', 'Arcade']",T,"Nov  4, 2008","['PC', 'PlayStation 3']",Up to 12,"Introducing a more lethal and cunningly efficient Bond, the game blends intense first-person action with a unique third-person cover combat system that allows players to truly feel what it is like to be the ultimate secret agent as they use their stealth, precision shooting and lethal combat skills to progress through missions. Blending the action of the ""Quantum of Solace"" feature film with the ""Casino Royale"" movie, the title propels players into the cinematic experience of international espionage.  Based on the Call of Duty 4: Modern Warfare game engine that has been specifically engineered to immerse players in the Bond universe, the Quantum of Solace game delivers high-definition graphics, reactive AI and visually stunning locations inspired by locales portrayed in the films. Quantum of Solace marks the first time players can become the dangerous and cunning Bond as portrayed by Daniel Craig. From silent take downs and sneaking through confined spaces, to one-on-one shoot outs and large scale battles, players experience a variety of gameplay that challenges them to think through situations and choose how they progress, whether it's through covert means or confronting enemies in full force. Advanced combat and Realistic AI: Players engage in both first-person and third-person gameplay that allows gamers to be Bond in unscripted battles against the world's most evil villains and mercenaries. Filled with armed combat, massive explosions and vertigo-inducing chases, gamers are immersed in an authentic Bond universe and drawn into epic movie moments with theatrical camera angles, split screen effects, picture-in-picture sequences, and amazing environments inspired by real world locations such as Montenegro, Venice, Bolivia and Austria. Bringing James Bond to next-gen consoles for the first time, gamers now have the ability to battle online in a variety of modes. [Activision]",65,Mixed or average reviews,16,50,3,7.0,Mixed or average reviews,39,35,12
1 vs. 100,Xbox 360,['Microsoft Game Studios'],Endemol,"['Miscellaneous', 'Trivia / Game Show', 'Trivia / Game Show']",T,"Jun  1, 2009",,,"1 vs 100 Live on Xbox LIVE transforms you from spectator to player in this new socially interactive game experience based upon the hit TV game show. Enjoy the fun and freshness of a television show in a massively multiplayer online game. Win real prizes not just for skills but for participation. Have fun playing with your friends and family, or compete with other LIVE Gold members in a friendly game of 1 vs 100 Live. With live events, real hosts, featured players, and fresh content it's a new experience every time you play.",0,No score yet,0,0,0,7.5,Generally favorable reviews,10,1,2
1942: Joint Strike,Xbox 360,['Capcom'],Backbone Entertainment,"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']",E10+,"Jul 23, 2008",['PlayStation 3'],2  Online,"[Xbox Live Arcade]  1942: Joint Strike takes inspiration and influence from the 194X series of World War II-themed vertical shooters. The art, sound, and gameplay of the new game takes cues from the original 194X games, but stands out as its own unique entry. Gameplay resembles the classic 2D style that gamers expect, but the game utilizes a full 3D engine. Set in a World War II-themed locale, stages, vehicles, and weapons have the look and feel of WWII with some stylistic differences. The world in which 1942 takes place is not our own and the events that transpire are not historically accurate, nor are they intended to be. This is an alternate world where history and technology developed along their own paths. As a result, players jump into the cockpits of WWII-era aircraft to take on huge waves of incoming enemy fire, dodging explosions and missiles while challenging huge bosses at the end of each stage. New co-op ""Joint Strike attacks"" combine the powers of two aircrafts into a devastating barrage. [Capcom]",68,Mixed or average reviews,11,22,3,6.2,Mixed or average reviews,9,8,5
2010 FIFA World Cup South Africa,Xbox 360,['EA Sports'],Electronic Arts,"['Sports', 'Traditional', 'Team', 'Soccer', 'Sim', 'Sim']",E,"Apr 27, 2010","['iPhone/iPad', 'PlayStation 3']",Up to 8,"EA SPORTS 2010 FIFA World Cup South Africa features all the emotion and passion of the fiercest national rivalries battling on the world’s biggest stage, with all 199 national teams that took part in qualification, all 10 official stadiums to be used in South Africa and stadiums from each qualifying region. Gamers can play as their home nation from qualification right through to a virtual reproduction of the FIFA World Cup Final and feel what it is like to score the goal that lifts a nation.  Everything fans love about the World Cup comes to life in spectacular  detail, including confetti rain, streamers, & fireworks - just like the official tournament. [Electronic Arts]",83,Generally favorable reviews,54,7,0,8.3,Generally favorable reviews,50,10,6
2014 FIFA World Cup Brazil,Xbox 360,['EA Sports'],EA Canada,"['Sports', 'Traditional', 'Team', 'Soccer', 'Sim']",E,"Apr 15, 2014",['PlayStation 3'],,"EA SPORTS 2014 FIFA World Cup marks the return of one of the most popular FIFA game modes. Start from the bottom, work your way up the squad list and eventually lead your country from through qualifying, and onto the World Cup. A brand new auto-positioning system makes the mode accessible to new players.",74,Mixed or average reviews,16,13,0,4.7,Generally unfavorable reviews,31,23,46
2K Essentials Collection,Xbox 360,['2K Games'],Various,"['Miscellaneous', 'Compilation', 'Compilation']",M,"Oct 22, 2013",['PlayStation 3'],Up to 4,Great collection saves you money buying the set instead of all games separately. only downfall is borderlands does not come with the dlc. pick it up for sure if your looking to buy XCOM because the collection and the game are about the same price.,0,No score yet,0,0,0,tbd,No user score yet,2,0,0
2K Power Pack,Xbox 360,['2K Games'],Various,"['Miscellaneous', 'Compilation', 'Compilation']",M,"Nov  8, 2013",['PlayStation 3'],,,0,No score yet,0,0,0,tbd,No user score yet,1,0,0
