title,platform,publisher,developer,genre,rating,release_date,multihoming,playersnum,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
187 Ride or Die,Xbox,['Ubisoft'],Ubisoft Paris,"['Driving', 'Car Combat']",M,24-Aug-05,['PlayStation 2'],2  Online,"Fully strapped with firepower, you'll make a mad dash for power by racing against ruthless street crews, murdering your opponents, and building an empire of cash money. In Notorious: Die to Drive, you can choose from more than 30 different vehicles, ranging from vintage roadsters to modern models. Then equip yourself with more than 20 weapons, including pistols, machine guns, shotguns, and Molotov Cocktails. High-priced women, jewelry, and houses are just some of the rewards for the few who can survive this dangerous game.",51,Mixed or average reviews,3,21,16,6.8,Mixed or average reviews,4,3,2
2002 FIFA World Cup,Xbox,['EA Sports'],Software Creations,"['Sports', 'Traditional', 'Soccer', 'Sim']",E,22-Apr-02,"['PC', 'PlayStation 2']",4-Jan,"Kick off the FIFA World Cup season with 2002 FIFA World Cup, which captures every moment of glory, every emotion, and every sound of the global event. The game boasts licenses from the official FIFA World Cup, insignia, mascots, and the 20 new World Cup stadiums in Japan and Korea. Another enhancement includes Air Play, a new control scheme that delivers intuitive one-button headers, volleys, scissors kicks, juggling, and more. Choose your team and then compete in a seven-game series beginning with round-robin play, followed by playoffs that lead to the final match.",79,Generally favorable reviews,11,6,0,7.5,Generally favorable reviews,4,1,1
25 to Life,Xbox,['Eidos Interactive'],"Ritual Entertainment, Avalanche Software","['Action', 'Shooter', 'Third-Person', 'Modern']",M,17-Jan-06,"['PC', 'PlayStation 2']",16  Online,"In 25 to Life, you can play as either a cop or a gangster. Set in the heart of today's cities, the game lets you experience the gritty lifestyles of police task forces or, as a gangster, survive the local neighborhood thugs while fighting your way up the ranks. You can even uphold the law or defend your turf with up to 16 players over the Internet. Whether you bust out of prison or infiltrate the inner sanctum of the drug lord's mansion, your knowledge of the streets will be put to the test.",41,Generally unfavorable reviews,0,6,14,7.3,Mixed or average reviews,10,2,3
4x4 EVO 2,Xbox,['Gathering'],Terminal Reality,"['Driving', 'Racing', 'Rally / Offroad']",E,14-Nov-01,['PC'],2-Jan,"I bought this game pretty recently for a good nostalgia trip, as I played this game when I was younger on Gamecube. Desperate to play it, I bought an Xbox copy instead, thinking it wouldn’t be much different. And it’s really not from what I can remember, everything that should be there is, well, there. I dunno if it’s considered cheating or not since I played it on Xbox 360 and not the original Xbox, but if it is, take this review with a grain of salt. I think that game is pretty solid is most aspects, the graphics are tight, the controls are responsive, the customization is INSANE, the car options are also INSANE, especially considering it had name brand vehicles from Chevrolet, GMC, Toyota... pretty much every well-known vehicle company aside from Ford. The game’s career mode is where you can buy and build your dream vehicle, adding roll cages, extra lights, bullbars, all sorts of aftermarket parts. The mission mode is also pretty amazing and is what I suggest you start out with first when going to play career mode, as the lag is barely noticeable, the controls are pretty responsive, and you get a big open map to search for your objective. It may take quite a while to figure everything out, but the soundtrack can help out in a lack of patience. But, again, despite this, it does tend to get tedious every now and then, but that’s what other modes are for to replenish your patience, that being the racing mode. Now this mode is a bit... not so good. The lag gets cranked way the heck up, the AI is annoying and seem to have a slight rubber-banding mechanic, vehicle collisions are a bit broken, and turning can be random due to the intense amount of lag. Because of all this it makes it dang near impossible to actually win a race, and because of it I actually have not won one single race by the time I’m writing this review. There is also no restart mechanic, so if you make a major screw-up (i.e. hit one of the checkpoint flags which you can actually do and the AI can also do pretty frequently) and you know you’re gonna lose, you’re better off just finishing the race if you’re on a final lap considering you still are going to have to go through two loading screens and a results screen. So, if you have the patience for it, I recommend sticking to missions first and racing later, since it also pays out a lot of money too. This isn’t to say the racing isn’t awful, the tracks are actually pretty good, with environment AI, shortcuts, and plenty of huge jumps. The tracks vary from a nice little race around a farmyard, to Area 51 and a nuclear waste site! Now because of this, I say you stick with time trials if you can’t stand the AI and lag that the AI causes. One more thing I think should be mentioned is the time it takes to save on 360. I dunno if it takes this long to save on the original Xbox, but it takes around 5 minutes just to save a game. I want to throw that out there since the first time I tried to save and it took that long I thought the game crashed, only to find out it saved just before I shut off my console. So, um, don’t do that. The game is most likely not broken, it just takes that long to save for some strange reason. Now, for my final verdict. Because of all this, as far as the Xbox version goes, I do recommend you play this game! But then again, I seriously suggest you stay below a budget that is around 20 dollars. Hope this review helped a few, and have fun playing 4x4 Evo 2!",59,Mixed or average reviews,4,5,6,5.7,Mixed or average reviews,2,1,3
50 Cent: Bulletproof,Xbox,['VU Games'],Genuine Games,"['Action Adventure', 'Modern']",M,17-Nov-05,['PlayStation 2'],,"You can play as 50 Cent as he blasts his way through the streets of New York in 50 Cent: Bulletproof. Your path will cross those of drug and weapons dealers, informants, and a myriad of other shady characters as you and the G-Unit take on some of the largest crime families in New York. The game features many acrobatic moves for chasing enemies, dodging their attacks, and taking them out. The story was written by Terry Winter, the executive producer of The Sopranos. 50 Cent also contributes unique content to the game in the form of music tracks, freestyles, and in-game dialogue.",50,Mixed or average reviews,1,7,6,5.6,Mixed or average reviews,10,5,11
Advent Rising,Xbox,['Majesco Games'],GlyphX Games,"['Action Adventure', 'Sci-Fi']",T,31-May-05,['PC'],1 Player,"In Advent Rising, a common legend pervades the galaxy--that one day humans will deliver the universe. Many view humans as the messiah, a symbol of hope, or fantastical creatures, but the Seekers view them as enemies that must be destroyed. In third- and first-person points of view, you'll realize what it means to be truly human as you delve into an intergalactic saga. Advent Rising sets you on an action-packed adventure where you'll develop superhuman powers, wield an arsenal of high-tech weapons, and command a vast array of futuristic vehicles.",68,Mixed or average reviews,24,22,4,7.5,Generally favorable reviews,46,9,13
Aeon Flux,Xbox,['Majesco Games'],Terminal Reality,"['Action Adventure', 'Sci-Fi']",T,17-Nov-05,['PlayStation 2'],1 Player,Aeon Flux is a sci-fi action game based on the movie that is based on the MTV series of the same name. Charlize Theron stars as the underground operative Aeon Flux. You can use Aeon's acrobatic fighting techniques and futuristic weapons to battle through landscapes inspired by the movie. The game also features a variety of futuristic gadgets and a style meter that help you complete objectives as you move through seven single-player chapters.,69,Mixed or average reviews,6,20,1,2.4,Generally unfavorable reviews,1,0,4
Aggressive Inline,Xbox,['Acclaim'],"Z-Axis, Ltd.","['Sports', 'Alternative', 'Skating']",T,29-Jul-02,['PlayStation 2'],2-Jan,"Aggressive Inline pushes your inline skating skills to the limit with a new Juice Meter, challenging objectives, and expansive levels. You can choose from an array of professional inline skaters--including Jaren Grob, Chris Edwards, and Shane Yost--and showcase your talent in various interactive skate parks. Perform a variety of manuals, grinds, big-air tricks, wall flips, hand plants, and more, to build up your Juice Meter and avoid elimination. Aggressive Inline also includes a Park Editor that lets you design your own skate park, complete with rails, ramps, and pipes.",85,Generally favorable reviews,16,4,0,7,Mixed or average reviews,6,1,2
AirForce Delta Storm,Xbox,['Konami'],KCE Studios,"['Simulation', 'Flight', 'Modern Jet']",E,14-Nov-01,,1 Player,"Strap into your cockpit and blast through the gut-wrenching world of flight combat. Your adrenaline pumps as machine gun fire pelts off your tail, you execute back-breaking barrel rolls and experience dog-fighting action. Take your pick of over 70 planes, including military fighters rendered from actual aircraft. With a full range of extreme missions to numb your senses, AirForce Delta Storm pushes your Xbox to the sky!",61,Mixed or average reviews,3,14,4,7,Mixed or average reviews,4,2,2
Alias,Xbox,['Acclaim'],Acclaim Studios Cheltenham,"['Action Adventure', 'Modern']",T,5-Apr-04,"['PC', 'PlayStation 2']",1 Player,"Alias is a third-person action adventure containing a unique blend of action and stealth that puts you under fire and under pressure.  Whether you're up against the clock or being hunted by the enemy, fighting against the odds, or fleeing for your life, the action is relentless.  Utilize your incredible spyware, deadly moves, and array of disguises to complete the most dangerous covert missions across the globe.  All the heart-stopping action and tension of the TV series is now under your control.",64,Mixed or average reviews,10,23,4,6,Mixed or average reviews,2,1,1
